Date,Price,Open,High,Low,Volume,Chg%
"Jun 28, 2016","31,315","31,450","31,450","31,161",22.13K,-0.74%
"Jun 27, 2016","31,548","31,450","31,740","31,434",21.50K,0.47%
"Jun 24, 2016","31,401","30,020","31,925","30,020",43.34K,4.97%
"Jun 23, 2016","29,914","30,077","30,190","29,852",23.65K,-0.69%
"Jun 22, 2016","30,122","30,251","30,272","30,055",16.85K,-0.57%
"Jun 21, 2016","30,296","30,600","30,610","30,231",21.11K,-1.30%
"Jun 20, 2016","30,695","30,550","30,728","30,340",18.70K,0.30%
"Jun 17, 2016","30,602","30,401","30,657","30,302",19.48K,-0.02%
"Jun 16, 2016","30,607","30,500","31,245","30,476",30.20K,0.54%
"Jun 15, 2016","30,444","30,450","30,520","30,305",15.62K,-0.37%
"Jun 14, 2016","30,558","30,350","30,584","30,270",19.64K,0.52%
"Jun 13, 2016","30,399","30,094","30,474","30,094",17.08K,1.05%
"Jun 10, 2016","30,084","29,901","30,141","29,816",17.34K,0.49%
"Jun 09, 2016","29,937","29,710","29,970","29,612",17.25K,1.04%
"Jun 08, 2016","29,629","29,400","29,725","29,400",16.18K,0.90%
"Jun 07, 2016","29,366","29,402","29,447","29,176",13.91K,-0.29%
"Jun 06, 2016","29,450","29,370","29,499","29,342",12.38K,1.51%
"Jun 03, 2016","29,011","28,600","29,083","28,560",0.03K,1.47%
"Jun 02, 2016","28,591","28,665","28,700","28,562",0.10K,-0.19%
"Jun 01, 2016","28,646","28,611","28,798","28,480",0.78K,0.07%
"May 31, 2016","28,627","28,668","28,719","28,555",6.76K,0.08%
"May 30, 2016","28,603","28,523","28,700","28,410",10.29K,0.00%
"May 27, 2016","28,603","28,691","28,837","28,536",13.92K,-0.47%
"May 26, 2016","28,738","29,100","29,160","28,705",17.59K,-0.75%
"May 25, 2016","28,955","29,200","29,214","28,861",16.82K,-1.18%
"May 24, 2016","29,300","29,687","29,687","29,275",18.05K,-1.29%
"May 23, 2016","29,684","29,677","29,727","29,570",10.91K,-0.02%
"May 20, 2016","29,691","29,718","29,870","29,653",12.85K,-0.36%
"May 19, 2016","29,797","29,917","29,917","29,623",16.29K,-0.86%
"May 18, 2016","30,055","30,041","30,083","29,911",13.82K,0.02%
"May 17, 2016","30,049","29,999","30,140","29,855",16.05K,0.24%
"May 16, 2016","29,977","30,064","30,269","29,912",15.07K,-0.19%
"May 13, 2016","30,034","29,943","30,068","29,750",16.14K,0.44%
"May 12, 2016","29,901","29,886","30,095","29,757",16.82K,-0.11%
"May 11, 2016","29,935","29,901","30,075","29,835",15.84K,0.51%
"May 10, 2016","29,783","29,797","29,864","29,607",14.62K,-0.07%
"May 09, 2016","29,805","30,215","30,215","29,765",17.87K,-1.89%
"May 06, 2016","30,378","30,120","30,420","30,000",24.45K,1.61%
"May 05, 2016","29,897","30,120","30,180","29,860",18.83K,-0.31%
"May 04, 2016","29,991","30,150","30,314","29,966",21.52K,-0.77%
"May 03, 2016","30,224","30,285","30,448","30,126",22.04K,-0.23%
"May 02, 2016","30,294","30,300","30,538","30,240",16.78K,0.09%
"Apr 29, 2016","30,266","29,749","30,375","29,749",22.99K,1.95%
"Apr 28, 2016","29,686","29,350","29,727","29,275",17.68K,1.03%
"Apr 27, 2016","29,383","29,246","29,435","29,246",15.74K,0.62%
"Apr 26, 2016","29,202","29,287","29,287","29,013",15.44K,-0.21%
"Apr 25, 2016","29,262","29,092","29,300","29,060",14.07K,0.83%
"Apr 22, 2016","29,021","29,373","29,420","28,986",15.81K,-1.14%
"Apr 21, 2016","29,357","29,255","29,756","29,210",24.23K,0.14%
"Apr 20, 2016","29,317","29,324","29,418","29,170",14.00K,-0.03%
"Apr 19, 2016","29,326","29,050","29,375","29,050",9.93K,1.18%
"Apr 18, 2016","28,983","29,010","29,170","28,934",13.67K,0.08%
"Apr 15, 2016","28,959","28,825","28,993","28,806",6.82K,0.69%
"Apr 14, 2016","28,760","29,050","29,090","28,715",10.57K,-1.51%
"Apr 13, 2016","29,202","29,286","29,286","29,058",14.93K,-0.46%
"Apr 12, 2016","29,336","29,284","29,495","29,240",15.68K,0.02%
"Apr 11, 2016","29,330","29,181","29,400","29,135",16.35K,0.68%
"Apr 08, 2016","29,131","29,145","29,152","28,851",15.78K,0.24%
"Apr 07, 2016","29,060","28,690","29,140","28,690",21.35K,1.45%
"Apr 06, 2016","28,646","28,785","28,847","28,579",13.21K,0.56%
"Apr 05, 2016","28,486","28,400","28,680","28,325",0.03K,1.13%
"Apr 04, 2016","28,168","28,080","28,200","28,056",0.38K,0.46%
"Apr 01, 2016","28,040","28,561","28,640","27,970",1.92K,-1.78%
"Mar 31, 2016","28,549","28,441","28,682","28,426",10.65K,0.50%
"Mar 30, 2016","28,407","28,655","28,830","28,361",16.04K,-1.17%
"Mar 29, 2016","28,743","28,389","28,782","28,341",17.01K,1.00%
"Mar 28, 2016","28,458","28,525","28,525","28,270",9.58K,-0.49%
"Mar 24, 2016","28,599","28,500","28,665","28,450",3.94K,-0.02%
"Mar 23, 2016","28,604","29,000","29,000","28,512",18.21K,-1.53%
"Mar 22, 2016","29,049","28,961","29,340","28,891",19.57K,0.37%
"Mar 21, 2016","28,941","29,100","29,114","28,820",17.02K,-0.65%
"Mar 18, 2016","29,131","29,399","29,450","29,003",15.73K,-0.77%
"Mar 17, 2016","29,356","29,185","29,600","29,185",21.42K,1.35%
"Mar 16, 2016","28,966","29,051","29,145","28,923",13.79K,-0.24%
"Mar 15, 2016","29,037","29,125","29,200","28,872",19.80K,-0.51%
"Mar 14, 2016","29,187","29,398","29,577","29,126",18.14K,-1.06%
"Mar 11, 2016","29,500","29,850","29,923","29,462",19.73K,-1.44%
"Mar 10, 2016","29,931","29,550","29,961","29,065",33.09K,1.13%
"Mar 09, 2016","29,598","29,666","29,718","29,301",22.48K,-0.71%
"Mar 08, 2016","29,809","29,650","30,161","29,650",23.95K,0.73%
"Mar 07, 2016","29,592","29,850","29,965","29,544",8.92K,-0.58%
"Mar 04, 2016","29,766","29,700","30,040","29,413",32.74K,0.51%
"Mar 03, 2016","29,616","29,275","29,681","29,245",17.47K,0.94%
"Mar 02, 2016","29,339","29,199","29,391","29,079",21.70K,0.39%
"Mar 01, 2016","29,226","29,650","29,838","29,186",23.87K,-0.97%
"Feb 29, 2016","29,513","29,409","29,750","29,381",24.78K,0.60%
"Feb 26, 2016","29,337","29,650","29,729","29,152",24.67K,-1.47%
"Feb 25, 2016","29,774","29,475","29,820","29,394",23.05K,0.74%
"Feb 24, 2016","29,554","29,403","29,936","29,241",26.12K,0.86%
"Feb 23, 2016","29,302","29,000","29,397","29,000",20.50K,1.16%
"Feb 22, 2016","28,966","29,101","29,165","28,801",20.52K,-1.86%
"Feb 19, 2016","29,515","29,386","29,638","29,290",19.08K,0.70%
"Feb 18, 2016","29,309","28,888","29,369","28,707",17.67K,1.46%
"Feb 17, 2016","28,888","28,953","29,050","28,731",16.23K,-0.04%
"Feb 16, 2016","28,899","28,610","29,075","28,425",22.63K,0.73%
"Feb 15, 2016","28,690","29,302","29,302","28,613",16.02K,-2.37%
"Feb 12, 2016","29,386","29,600","29,805","29,340",19.60K,-1.36%
"Feb 11, 2016","29,791","28,350","30,095","28,350",34.82K,5.21%
"Feb 10, 2016","28,317","28,350","28,350","28,025",20.87K,-0.42%
"Feb 09, 2016","28,437","28,421","28,507","28,190",21.62K,-0.07%
"Feb 08, 2016","28,458","27,578","28,527","27,578",23.12K,2.67%
"Feb 05, 2016","27,717","27,420","27,834","27,400",0.18K,1.31%
"Feb 04, 2016","27,358","27,200","27,434","27,182",0.06K,0.59%
"Feb 03, 2016","27,198","27,035","27,240","26,911",0.10K,1.14%
"Feb 02, 2016","26,891","26,848","26,998","26,750",0.39K,0.41%
"Feb 01, 2016","26,782","26,700","26,883","26,617",2.20K,0.54%
"Jan 29, 2016","26,638","26,665","26,695","26,485",12.37K,-0.27%
"Jan 28, 2016","26,710","26,844","26,867","26,600",14.52K,-0.15%
"Jan 27, 2016","26,749","26,450","26,809","26,450",12.13K,1.37%
"Jan 25, 2016","26,387","26,247","26,442","26,206",13.55K,0.87%
"Jan 22, 2016","26,160","26,281","26,282","26,100",15.20K,-0.11%
"Jan 21, 2016","26,190","26,361","26,507","26,151",22.62K,-1.39%
"Jan 20, 2016","26,559","26,199","26,658","26,164",24.22K,1.93%
"Jan 19, 2016","26,057","26,023","26,080","25,860",14.44K,-0.03%
"Jan 18, 2016","26,065","26,053","26,100","25,966",9.73K,-0.18%
"Jan 15, 2016","26,112","25,658","26,215","25,658",20.66K,1.85%
"Jan 14, 2016","25,637","25,824","26,015","25,591",18.09K,-0.38%
"Jan 13, 2016","25,735","25,620","25,790","25,516",15.48K,0.24%
"Jan 12, 2016","25,674","25,883","25,966","25,614",17.69K,-0.76%
"Jan 11, 2016","25,870","26,098","26,118","25,834",16.99K,-0.43%
"Jan 08, 2016","25,982","26,022","26,088","25,770",22.33K,-0.45%
"Jan 07, 2016","26,100","25,800","26,123","25,769",23.02K,1.39%
"Jan 06, 2016","25,741","25,469","25,784","25,439",22.28K,1.39%
"Jan 05, 2016","25,388","25,336","25,490","25,318",14.22K,-0.04%
"Jan 04, 2016","25,397","25,040","25,521","25,034",19.48K,1.74%
"Jan 01, 2016","24,962","24,913","25,039","24,913",1.95K,0.12%
"Dec 31, 2015","24,931","25,009","25,013","24,850",8.26K,-0.20%
"Dec 30, 2015","24,982","25,200","25,217","24,970",12.45K,-0.59%
"Dec 29, 2015","25,130","25,207","25,279","25,111",10.95K,0.02%
"Dec 28, 2015","25,125","25,193","25,205","25,111",7.85K,-0.35%
"Dec 24, 2015","25,212","25,123","25,227","25,092",5.25K,0.58%
"Dec 23, 2015","25,067","25,222","25,240","25,055",11.94K,-0.73%
"Dec 22, 2015","25,251","25,339","25,397","25,230",12.00K,-0.53%
"Dec 21, 2015","25,385","25,173","25,413","25,130",15.33K,1.21%
"Dec 18, 2015","25,082","24,871","25,228","24,846",16.88K,0.97%
"Dec 17, 2015","24,841","25,370","25,370","24,740",21.52K,-2.46%
"Dec 16, 2015","25,468","25,307","25,498","25,203",13.79K,0.80%
"Dec 15, 2015","25,266","25,333","25,419","25,190",13.69K,-0.32%
"Dec 14, 2015","25,347","25,606","25,623","25,335",13.58K,-1.29%
"Dec 11, 2015","25,679","25,357","25,714","25,270",18.31K,1.03%
"Dec 10, 2015","25,418","25,515","25,544","25,391",10.36K,-0.72%
"Dec 09, 2015","25,602","25,530","25,747","25,430",15.68K,0.30%
"Dec 08, 2015","25,526","25,500","25,614","25,387",14.58K,-0.10%
"Dec 07, 2015","25,552","25,710","25,715","25,512",9.11K,1.13%
"Dec 04, 2015","25,267","25,095","25,685","25,040",0.02K,1.32%
"Dec 03, 2015","24,937","24,804","25,060","24,757",0.21K,0.39%
"Dec 02, 2015","24,840","25,065","25,127","24,814",0.24K,-0.62%
"Dec 01, 2015","24,994","25,183","25,218","24,973",2.17K,-0.30%
"Nov 30, 2015","25,069","24,994","25,115","24,935",9.18K,0.04%
"Nov 27, 2015","25,059","25,244","25,278","24,965",14.45K,-0.88%
"Nov 26, 2015","25,281","25,255","25,337","25,250",7.84K,0.23%
"Nov 25, 2015","25,222","25,243","25,275","25,141",6.98K,-0.26%
"Nov 24, 2015","25,289","25,193","25,379","25,171",12.90K,0.49%
"Nov 23, 2015","25,165","25,183","25,280","25,081",14.03K,-0.31%
"Nov 20, 2015","25,243","25,361","25,491","25,200",15.03K,-0.19%
"Nov 19, 2015","25,291","25,186","25,443","25,100",16.55K,0.79%
"Nov 18, 2015","25,094","24,997","25,174","24,997",12.16K,0.26%
"Nov 17, 2015","25,028","25,290","25,368","24,960",17.99K,-1.26%
"Nov 16, 2015","25,347","25,585","25,725","25,327",17.09K,-0.10%
"Nov 13, 2015","25,372","25,390","25,499","25,336",10.52K,0.17%
"Nov 12, 2015","25,329","25,455","25,540","25,202",10.63K,-0.56%
"Nov 11, 2015","25,471","25,495","25,529","25,461",2.35K,-0.43%
"Nov 10, 2015","25,582","25,695","25,725","25,491",10.52K,-0.40%
"Nov 09, 2015","25,686","25,722","25,763","25,625",11.94K,0.64%
"Nov 06, 2015","25,523","25,815","25,899","25,464",18.41K,-1.23%
"Nov 05, 2015","25,841","25,819","25,922","25,743",16.11K,0.27%
"Nov 04, 2015","25,771","25,940","26,073","25,732",15.46K,-0.58%
"Nov 03, 2015","25,922","26,393","26,432","25,884",21.07K,-1.84%
"Nov 02, 2015","26,409","26,480","26,540","26,381",9.92K,-0.34%
"Oct 30, 2015","26,499","26,588","26,625","26,461",14.05K,-0.46%
"Oct 29, 2015","26,621","27,040","27,040","26,605",19.48K,-1.67%
"Oct 28, 2015","27,073","26,945","27,189","26,932",14.50K,0.55%
"Oct 27, 2015","26,925","26,806","26,940","26,780",10.22K,0.38%
"Oct 26, 2015","26,823","26,834","26,927","26,770",11.53K,0.05%
"Oct 23, 2015","26,809","26,874","27,095","26,726",18.50K,-0.21%
"Oct 22, 2015","26,865","26,963","27,008","26,843",7.53K,-0.33%
"Oct 21, 2015","26,955","27,120","27,197","26,925",12.48K,-0.58%
"Oct 20, 2015","27,112","26,927","27,190","26,913",15.88K,0.39%
"Oct 19, 2015","27,006","27,111","27,111","26,922",10.48K,-0.53%
"Oct 16, 2015","27,150","27,225","27,225","27,063",11.70K,-0.39%
"Oct 15, 2015","27,257","27,211","27,368","27,061",21.02K,0.19%
"Oct 14, 2015","27,206","27,108","27,290","26,900",20.78K,0.84%
"Oct 13, 2015","26,979","26,725","27,026","26,631",17.66K,0.71%
"Oct 12, 2015","26,788","26,675","26,938","26,664",14.76K,0.62%
"Oct 09, 2015","26,622","26,424","26,696","26,402",15.14K,0.67%
"Oct 08, 2015","26,446","26,501","26,534","26,337",14.52K,-0.41%
"Oct 07, 2015","26,555","26,700","26,788","26,416",17.49K,-0.25%
"Oct 06, 2015","26,621","26,424","26,728","26,385",15.99K,2.12%
"Oct 05, 2015","26,068","26,173","26,201","26,013",0.30K,1.14%
"Oct 01, 2015","25,773","25,827","25,875","25,711",1.48K,-0.32%
"Sep 30, 2015","25,856","26,212","26,212","25,760",16.24K,-1.47%
"Sep 29, 2015","26,243","26,536","26,568","26,211",17.45K,-0.98%
"Sep 28, 2015","26,504","26,692","26,725","26,341",15.36K,-0.86%
"Sep 25, 2015","26,734","26,825","26,825","26,628",10.04K,-0.81%
"Sep 24, 2015","26,952","26,520","27,100","26,465",20.08K,1.83%
"Sep 23, 2015","26,467","26,229","26,490","26,209",13.90K,0.87%
"Sep 22, 2015","26,238","26,319","26,450","26,181",18.39K,-0.41%
"Sep 21, 2015","26,345","26,487","26,547","26,290",12.20K,-0.47%
"Sep 18, 2015","26,469","26,350","26,590","26,313",17.24K,1.15%
"Sep 17, 2015","26,168","26,208","26,248","26,136",5.92K,-0.47%
"Sep 16, 2015","26,291","25,993","26,350","25,965",19.63K,1.20%
